iter	MultiClass
0	0.9259447386
1	0.7508424973
2	0.676660218
3	0.6388100286
4	0.6058429191
5	0.5911857241
6	0.5780632221
7	0.5706794663
8	0.5673682498
9	0.5616363935
10	0.5532808303
11	0.5471130227
12	0.5406322889
13	0.5359081407
14	0.5327180269
15	0.526963103
16	0.5220702266
17	0.5193409289
18	0.5158776909
19	0.5142630435
20	0.5109347033
21	0.5081365068
22	0.5052091867
23	0.5032893973
24	0.5023047524
25	0.500404554
26	0.498178868
27	0.4965927225
28	0.4936279325
29	0.4911627796
30	0.4891088293
31	0.4867432189
32	0.4843108123
33	0.4826583878
34	0.4802744928
35	0.4796275351
36	0.4778714047
37	0.4763445491
38	0.4739009627
39	0.4724605065
40	0.4715382022
41	0.4684974923
42	0.4668921211
43	0.4640580913
44	0.4631887088
45	0.4617024891
46	0.4600374679
47	0.4583466008
48	0.4566024218
49	0.4551300391
